Group,Column,Column,2019,Column,2018,Column
,Notes,"Fair value
Level","Carrying
amounts at
amortised",Fair value,"Carrying
amounts at
amortised",Fair value
,,,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Assets,,,,,,
Government securities,30(i),Level 2,"15,057,530","15,497,946","15,212,824","15,407,109"
Mortgage loans and receivables,31,Level 2,"1,171,693","1,171,693","1,209,394","1,209,394"
Loans and receivables to policy holders,32,Level 2,"1,511,273","1,511,273","1,301,118","1,301,118"
Other receivables,37,Level 3,"1,624,170","1,624,170","1,944,610","1,944,610"
Corporate bonds,30(ii),Level 2,"622,109","622,109","944,194","944,194"
Investments in liquid funds,38(i),Level 2,"34,688","34,688","1,063,596","1,063,596"
Total assets,,,"20,021,463","20,461,879","21,675,736","21,870,021"
Liabilities,,,,,,
Borrowings,,,,,,
-Bank loan,14,Level 2,"375,000","375,000","1,160,000","1,160,000"
-Other borrowings,14,Level 3,"1,382,952","1,382,952","1,400,488","1,400,488"
-Interest payable,14,Level 2,"594,764","594,764","226,373","226,373"
Other payables,46,Level 3,"2,886,175","2,886,175","2,726,947","2,726,947"
Total liabilities,,,"5,238,891","5,238,891","5,513,808","5,513,808"
