(ii) Life Savings,Year ended 31 December 2023,Column,Column,Column
,LRC,,"Liabilities for
incurred claims
(Shs’000)","Total
(Shs’000)"
"Analysis by remaining coverage and
incurred claims - Contracts not
measured under PAA","Excluding loss
component
(Shs’000)","Loss
component
(Shs’000)",,
Opening insurance contract liabilities,"20,099,690","249,573","370,791","20,720,054"
Opening insurance contract assets,-,-,-,-
Net balance as at 1 January,"20,099,690","249,573","370,791","20,720,054"
Insurance revenue,,,,
"CSM recognized for services provided
Change in risk adjustment for non-fi-
nancial risk for risk expired
Expected insurance service expenses
incurred","(826,686)
(264,921)
(3,134,659)","-
-
-","-
-
-","(826,686)"
,,,,"(264,921)"
,,,,"(3,134,659)"
Total insurance revenue,"(4,226,266)",-,-,"(4,226,266)"
Incurred insurance service expenses:,,,,
"Incurred claims and other directly at-
tributable expenses
Changes in fulfilment cash flows relat-
ing to LIC
Losses for the net outflow recognized
on initial recognition
Losses on onerous contracts and reversal
of those losses","-
-
-
-","(150,349)
-
129,777
919,441","1,365,057
81,969
-
-","1,214,708"
,,,,"81,969"
,,,,"129,777"
,,,,"919,441"
Total insurance service expenses,-,"898,869","1,447,026","2,345,895"
Total insurance service result,"(4,226,266)","898,869","1,447,026","2,345,895"
"Finance expenses from insurance
contracts issued
Investment components","178,065
(5,735,066)","35,756
-","28,139
5,735,066","241,960"
,,,,-
"Total changes in the statement of finan-
cial performance","(9,783,267)","934,625","7,210,231","(1,638,411)"
Cash flows,,,,
"Premiums received
Claims and other directly attributable
expenses paid","10,652,465
-","-
-","-
(7,089,858)","10,652,465"
,,,,"(7,089,858)"
Total cash flows,"10,652,465",-,"(7,089,858)","3,562,607"
Other movements,"(546,113)",883,-,"(545,230)"
Net Closing balance,"20,422,775","1,185,081","491,164","22,099,020"
