Members,Status,Attendance
Amb. Dr. Francis K. Muthaura (Chairman),Independent Non-Executive Director,4/4
Dr. Peter K. Munga,Independent Non-Executive Director,4/4
Dr. Benson I. Wairegi,Group Managing Director,4/4
