Maximum exposure to credit risk before collateral held,Column,Column
"External credit
rating/credit
quality grouping","2010
Shs’000",2009
,,Shs’000
B+,"361,360
2,109,214
305,717
4,265,612
576,464
303,418
10,081
161,277
463,893
2,696
388,547
500,102
415,376","523,561"
B+,,"1,573,543"
Group 2,,"287,848"
Group 2,,"2,122,003"
Group 2,,"659,877"
Group 2,,"357,789"
Group 2,,"54,090"
Group 2,,"196,757"
Group 2,,"275,957"
Group 2,,"33,060"
Group 2,,"151,506"
Group 2,,"206,640"
Group 2,,"192,870"
,"9,863,757","6,635,501"
