Long-Term Business,2013,2012,Increase
KShs 000s KShs 000s (%),,,
"*Adjusted Net worth : 5,904,972 4,731,522 25%",,,
"Present Value of Inforce : 3,542,781 2,420,345 46%",,,
"Cost of Required Capital : (285,280) (223,870) 27%",,,
"Cost of Restriction on Surplus : (1,865,566) (1,490,744) 25%",,,
"*Embedded Value : 7,296,907 5,437,254 34%",,,
