2023,Life Risks,Life Savings,"Investment
Contracts with
DPFs",Non-Life PTD,Totals
Insurance Contracts Issued,,,,,
"Insurance Revenue
New Contracts and Contracts measured
under the full retrospective approach at
transition
Contracts measured under the fair value
approach at transition","8,075,941
44,109","3,622,075
604,190","1,467,303
14,561","-
-","13,165,319
662,860"
,"8,120,050","4,226,265","1,481,864",-,"13,828,179"
"CSM as at 31 December
New Contracts and Contracts measured
under the full retrospective approach at
transition
Contracts measured under the fair value
approach at transition","1,692,730
47,198","5,726,168
-","914,556
34,010","208,474","8,541,928
81,208"
,"1,739,928","5,726,168","948,566","208,474","8,623,136"
2022,,,,,
Insurance Contracts Issued,,,,,
Insurance Revenue,,,,,
"New Contracts and Contracts measured
under the full retrospective approach at
transition
Contracts measured under the fair value
approach at transition","2,702,907
30,146","3,222,000
695,568","1,332,052
(11,516)","-
-","7,256,959
714,198"
,"2,733,053","3,917,568","1,320,536",-,"7,971,157"
"CSM as at 31 December
New Contracts and Contracts measured
under the full retrospective approach at
transition
Contracts measured under the fair value
approach at transition","1,210,614
27,767","5,235,769
-","444,840
17,632","304,906
-","7,196,129
45,399"
,"1,238,381","5,235,769","462,472","304,906","7,241,528"
