Group,"Land and
Buildings","Leasehold
improvements","Motor
vehicles","Furniture,
fittings
& office
equipment","Computer
equipment",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,"834,378
60,266
-
-
9,805
-
(10,560)",,"1,154,272
40,265
(3,034)
-
-
-
(3,133)",,
,"257,844",,"150,521",,"934,382",
,,,"13,464",,"14,539",
,-,,"(6,169)",,"(2,242)",
,"299,026",,-,,-,
,-,,-,,-,
,"77,459",,-,,-,
,"49,136",,"(28,960)",,"3,302",
,"683,465","893,889","128,856","1,188,370","949,981",
,,"557,554
63,004
-
1,612",,"941,636
52,502
(1,165)
3,658",,
,"1,078",,"110,835",,"817,998",
,"16,608",,"13,386",,"39,831",
,-,,"(6,081)",,"(1,174)",
,(5),,"(27,220)",,"4,097",
,"17,681","622,170","90,920","996,631","860,752",
,"665,784","271,719","37,936","191,739","89,229",
