Group,Column,Column,Column,Column,Column
2017,,,2016,,
"Gross
Revenue
Shs’000","Reinsurance
ceded
Shs’000","Net
Revenue
Shs’000","Gross
Revenue
Shs’000","Reinsurance
ceded
Shs’000","Net
Revenue
Shs’000"
"2,553,531","(16,698)","2,536,833",,,
"6,916,671","(45,229)","6,871,442",,,
"1,660,645","(309,724)","1,350,921",,,
"11,130,847","(371,651)","10,759,196",,,
"562,693","(471,521)","91,172",,,
"1,081,069","(623,265)","457,804",,,
"517,914","(356,909)","161,005",,,
"4,305,136","(337,703)","3,967,433",,,
"4,082,938","(562,637)","3,520,301",,,
"651,584",(910),"650,674",,,
"279,199","(23,433)","255,766",,,
"304,240","(164,071)","140,169",,,
"274,759","(29,606)","245,153",,,
"107,932","(58,485)","49,447",,,
"12,167,464","(2,628,540)","9,538,924",,,
"23,298,311","(3,000,191)","20,298,120",,,
"147,992",-,"147,992",,,
"464,058",-,"464,058",,,
"50,563",-,"50,563",,,
,,-,,,
"98,017",-,"98,017",,,
-,-,-,,,
"760,630",-,"760,630",,,
"24,058,941","(3,000,191)","21,058,750",,,
