Gross,"Rein-
surance",Net,Gross,"Rein-
surance",Net
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"8,331,737","(3,859,971)","4,471,766","5,359,538","(2,146,749)","3,212,789"
"3,246,138","(723,133)","2,523,005","3,332,949","(666,684)","2,666,265"
"11,577,875","(4,583,104)","6,994,771","8,692,487","(2,813,433)","5,879,054"
"(8,877,731)","1,900,323","(6,977,408)","(8,733,433)","1,849,371","(6,884,062)"
"8,926,483","(1,764,770)","7,161,713","10,394,683","(2,494,879)","7,899,804"
"998,465","(850,080)","148,385","1,224,138","(1,124,163)","99,975"
"12,625,092","(5,297,631)","7,327,461","11,577,875","(4,583,104)","6,994,771"
"9,456,553","(4,613,615)","4,842,938","8,331,737","(3,859,971)","4,471,766"
"3,168,539","(684,016)","2,484,523","3,246,138","(723,133)","2,523,005"
"12,625,092","(5,297,631)","7,327,461","11,577,875","(4,583,104)","6,994,771"
