Company 2023,Column,Level 1,Level 2,Level 3,Total
Assets,Notes,Shs’000,Shs’000,Shs’000,Shs’000
Investment property,29(i),-,-,"80,000","80,000"
Investment in property funds,29(ii),-,-,"2,100,442","2,100,442"
Total assets,,,,"2,180,442","2,180,442"
