Stakeholders,How we engage our stakeholders
"Customers
Our customers are our largest stakeholder
Group. They are the reason why we exist
and are the providers of revenue as they
subscribe to our products and services.",
,"We offer our customers various services to provide them with financial security.
Our key products and services include General Insurance, Life Assurance,
Retirement Planning, Asset Management, and Property.
We have changed our business model to embed customer-centricity by grouping
our customers into segments that empower us to better offer customized
propositions.
We engage with them through different channels such as face-to-face meetings,
through our shops and outlets, through agents and intermediaries as well as
traditional service channels like phones and email.
In the online space, we reach them through platforms such as live chats,
WhatsApp, social media, and self-service via an app – The Britam APP. We
also offer online and unstructured supplementary service data (USSD). Other
engagements are in the form of mass media and sponsorships.
We use independent service providers to obtain feedback on customer
experience."
"Employees
Our employees are at the core of our
business. We esteem our employees – their
knowledge, expertise, and dedication to our
business, customers, and intermediaries.
They are core drivers of our success and
competitive edge.",
,"We are deliberate in the way we engage with our employees to inspire and
motivate them to deliver their best. This is through both cash-based and non-
cash-based rewards.
There are opportunities for in-person interaction through company-wide
townhalls, ad hoc employee events, and workplace forums.
We also interact online through regular email updates, social collaboration
tools, and anonymous feedback platforms. In addition, we offer training
programs both online and face-to-face to support them develop their careers.
There are also other opportunities for personal development."
"The Wider Community
Our focus is beyond business priorities and
therefore we strive to make a lasting impact
on the environment and the communities in
which we operate.
Our initiatives aim to enrich lives beyond
the value provided by our products and
services.","Across our regional footprint, we aim to make a lasting impact on the
communities in which we serve. We engage through our corporate social
investment initiatives to uplift communities, strengthen our industry and share
our experience and expertise for the common good.
Our interactions include meetings, events, workshops, training, industry forums,
donations, and sponsorships.
The business allocates funds to corporate social responsibility activities for
investment in our communities."
