Group,Column,Company,Column
2021,2020,2021,2020
Shs’000,Shs’000,Shs’000,Shs’000
"1,011,461",,"(1,962,697)",
"185,331",,"36,879",
"173,958",,"48,290",
"427,898",,"26,389",
"206,410",,"139,896",
"96,430",,-,
"(10,872,447)",,"(206,379)",
"7,495",,"5,554",
"(1,807,167)",,"(1,318,424)",
-,,"(11,143)",
"(321,494)",,-,
"286,085",,"115,158",
"413,989",,"367,162",
"(14,368)",,-,
"(2,752)",,"4,458",
"(975,827)",,-,
"(406,490)",,-,
"299,007",,-,
"(35,806)",,-,
"(1,189,110)",,-,
"381,118",,-,
"197,248",,-,
"(20,318,047)",,-,
"10,159,214",,-,
"(719,174)",,-,
"3,220,116",,-,
"(1,019,288)",,-,
-,,-,
"(182,661)",,-,
"266,520",,-,
"(2,217,208)",,-,
"2,086,109",,-,
"139,462",,-,
"10,867,728",,-,
