Group,"Fair value
reserve","Revaluation
reserve","Foreign
currency
translation
reserves","General
reserves",Total
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
At 1 January 2019,"8,032,788","330,916","(887,198)","4,280,421","11,756,927"
Revaluation loss on buildings (Note 21),-,"(236,169)",-,-,"(236,169)"
"Revaluation gains on quoted ordinary shares at fair value
through other comprehensive income (Note 25)","1,659,238",-,-,"603,170","2,262,408"
Share of associate other comprehensive income (Note 25),-,-,-,"(1,369)","(1,369)"
Re-measurement of the net defined benefit asset (Note 25),-,-,-,"(50,625)","(50,625)"
Surplus for life business,-,-,-,"3,433,768","3,433,768"
Transfer from retained earnings (Note 18),-,-,-,"43,968","43,968"
Currency translation losses (Note 25),-,-,"(96,214)",-,"(96,214)"
At 31 December 2019,"9,692,026","94,747","(983,412)","8,309,333","17,112,694"
At 1 January 2018,"8,468,727","323,520","(846,583)","5,634,295","13,579,959"
IFRS 9 Adjustment,-,-,,"(63,269)","(63,269)"
Share of associate’s impact of initial application of IFRS 9,-,-,-,"(81,419)","(81,419)"
Revaluation gains on building (Note 21),-,"7,396",-,-,"7,396"
"Revaluation losses on quoted ordinary shares at fair value
through other comprehensive income (Note 25)","(435,939)",-,-,"(158,474)","(594,413)"
Share of associate other comprehensive income (Note 25),-,-,-,"17,138","17,138"
Re-measurement of the net defined benefit asset (Note 25),-,-,-,"(35,517)","(35,517)"
Surplus for life business,-,-,-,"(1,068,068)","(1,068,068)"
Transfer from retained earnings (Note 18),-,-,-,"35,735","35,735"
Currency translation gains (Note 25),-,-,"(40,615)",-,"(40,615)"
At 31 December 2018,"8,032,788","330,916","(887,198)","4,280,421","11,756,927"
