"Branch
code",Branch Name,Town,"Branch
code",Branch name,Town,"Branch
code",Branch name,Town
0,Head Office,Nairobi,38,Mwea,Mwea,77,Gilgil,Gilgil
1,Corporate,Nairobi,39,Matuu,Matuu,78,Busia,Busia
2,Fourways,Nairobi,40,Maua,Maua,79,Voi,Voi
3,Kangema,Kangema,41,Isiolo,Isiolo,80,"Enterprise
Road",Nairobi
4,Karatina,Karatina,42,Kagio,Kagio,81,Equity Centre,Nairobi
5,Kiria-ini,Kiria-ini,43,Gikomba,Nairobi,82,Donholm,Nairobi
6,Murarandia,Kahuro,44,Ukunda,Ukunda,83,Mukurwe-ini,"Mukurwe-
ini"
7,Kangari,Kangari,45,Malindi,Malindi,84,Eastleigh,Nairobi
8,Othaya,Othaya,46,"Mombasa Digo
Rd",Mombasa,85,Namanga,Namanga
9,"Thika –
Commerce
House",Thika,47,Moi Avenue,Nairobi,86,Kajiado,Kajiado
10,Kerugoya,Kerugoya,48,Bungoma,Bungoma,87,Ruiru,Ruiru
11,Nyeri,Nyeri,49,Kapsabet,Kapsabet,88,OTC,Nairobi
12,Tom Mboya,Nairobi,50,Kakamega,Kakamega,89,Kenol,Kenol
13,"Nakuru
Gatehouse",Nakuru,51,Kisii,Kisii,90,Tala,Tala
14,Meru,Meru,52,Nyamira,Nyamira,91,Ngara,Nairobi
15,Mama Ngina,Nairobi,53,Litein,Litein,92,Nandi Hills,Nandi Hills
16,Nyahururu,Nyahururu,55,Westlands,Nairobi,93,Githunguri,Githunguri
17,Community,Nairobi,56,"Industrial Area,
Kenpipe Plaza",Nairobi,94,Tea Room,Nairobi
18,"Community
Corporate",Nairobi,57,Kikuyu,Kikuyu,95,Buru Buru,Nairobi
19,Embu,Embu,58,Garissa,Garissa,96,Mbale,"Mbale
Town"
20,Naivasha,Naivasha,59,Mwingi,Mwingi,97,Siaya,Siaya
21,Chuka,Chuka,60,Machakos,Machakos,98,Homa Bay,Homa Bay
22,Muranga,Muranga,61,Ongata Rongai,Rongai,99,Lodwar,Lodwar
23,Molo,Molo,62,Ol-Kalou,Ol-Kalou,100,Mandera,Mandera
24,Harambee,Nairobi,63,Kawangware,Nairobi,102,Moyale,Moyale
25,"Mombasa Moi
Avenue",Mombasa,64,Kiambu,Kiambu,101,Marsabit,Marsabit
26,Kimathi,Nairobi,65,Kayole,Nairobi,103,Wajir,Wajir
27,Nanyuki,Nanyuki,66,Gatundu,Gatundu,104,"Meru
Makutano",Meru
28,Kericho,Kericho,67,Wote,Wote,105,Malaba,"Malaba
Town"
29,Kisumu,Kisumu,68,Mumias,Mumias,106,Kilifi,Kilifi
30,Eldoret,Eldoret,69,Limuru,Limuru,107,Kapenguria,Kapenguria
