Column,2024,2023
,Shs’000,Shs’000
"Total profit as per segmental reporting
Income from intra-segmental adjustments
Intercompany loan interest income
Rental income from related parties
Management fees from related parties
Dividend income from subsidiaries
Share of Britam Tower LLP net assets in Britam Holdings Plc and
Britam Life Assurance Company (Kenya) Limited
Reversal of Share of HF Group OCI recycled in Holdings books
NPS/KPS business Booked in Life
NPS/KPS Ceded premium to GI
NPS/KPS commission earned
Fair value gains on Unquoted shares (Cont Re) booked in Life
Recognition of Cont re impairment at Group
Interest income on Britam Asset Managers Kenya factored debtors
Britam Life share of HF Group profit/(loss) adjusted at group
Bargain Purchase on ContRe
Associate share of profit – ContRe
Other income/mark up","6,348,601","4,058,818"
,"(103,561)","(29,238)"
,"(73,837)","(67,494)"
,"(226,794)","(186,965)"
,"(475,843)","(261,196)"
,"(657,815)","(512,738)"
,"(116,284)",-
,"(3,387,891)","(3,095,788)"
,"3,387,891","3,095,788"
,"(677,578)","(805,754)"
,"(115,704)",-
,"(111,417)",-
,-,"(10,822)"
,"(40,105)","(5,765)"
,"80,847",-
,"120,845",-
,"(4,243)","(1,492)"
Total adjustments on income,"(2,401,489)","(1,881,464)"
"Expenses from intra-segmental adjustments
Intercompany loan interest expense
Mark up charge
Management fees expense from related parties
NPS/KPS business booked in Life – Claims
NPS/KPS ceded to GI Kenya - Claims
NPS/KPS Commission expense
Interest income on BAM Ke factored debtors
Rental income to related parties",,
,"103,561","29,238"
,"4,243","1,492"
,"226,794","186,965"
,"(1,414,374)","1,377,300"
,"1,414,374","(1,377,300)"
,"677,578","805,754"
,-,"10,822"
,"73,837","67,494"
Total adjustments on expenses,"1,086,013","1,101,765"
Profit as per the consolidated income statement,"5,033,125","3,279,119"
