Column,June 2014,June 2013,% Increase
ROE for OCI 36% 29% 6%,,,
ROE for PAT 16% 17% -1%,,,
"Total Assets 55,151M 42,973M 28%",,,
"AUM 41,476M 32,677M 27%",,,
