Column,Group,Company
,Shs ‘000,Shs ‘000
At 1 January 2019,"(1,387,488)","82,582"
Profit for the year,"124,515","1,684,192"
Transfer to general reserve (Note 17),"(43,968)",-
At 31 December 2019,"(1,306,941)","1,766,774"
At 1 January 2018,"332,832","935,124"
Impact of initial application of IFRS 9,"(444,339)","(7,582)"
Share of associate’s impact of initial application of IFRS 9 (Note 24(i)),"(78,359)","(78,359)"
Loss for the year,"(1,161,887)","(766,601)"
Transfer to general reserve (Note 17),"(35,735)",-
At 31 December 2018,"(1,387,488)","82,582"
