Board Member,Position,"Annual
Retainer","Sitting
Allowances","Other
Allowances","Salaries
& Other
Benefits",Total
,"Former
Chairman",-,"450,000","315,000",-,"765,000"
,NED,"1,000,000","3,637,500",-,-,"4,637,500"
,NED,"1,000,000","3,912,500",-,-,"4,912,500"
,"Former Ag.
Chairman","1,050,000","5,512,500","3,465,000",-,"10,027,500"
,NED,"1,000,000","2,750,000",-,-,"3,750,000"
,NED,"1,000,000","2,925,000",-,-,"3,925,000"
,NED,"1,000,000","4,275,000",-,-,"5,275,000"
,NED,"1,000,000","2,750,000",-,-,"3,750,000"
,Chairman,"500,000","1,225,000",-,-,"1,725,000"
,NED,-,-,-,-,-
,ED,-,-,-,"127,033,472","127,033,472"
,ED,-,-,-,"8,171,640","8,171,640"
,,-,"925,000",-,-,"925,000"
,,"7,550,000","28,362,500","3,780,000","135,205,112","174,897,612"
