No.,Names,Roles,Shares
1,Dr. Benson Wairegi,GMD,"101,356,300"
2,Mr. Jimnah M. Mbaru,Director,"194,800,100"
3,Dr. Peter K. Munga,Director,"75,000,000"
4,Mr. Mohamed S. Karama,Director,-
5,Ms. Caroline J. Kigen,Director,-
6,Ms. Marianne Loner,Director,-
7,Africinvest III SPV,Director,"442,779,881"
8,Mr. Christopher Minter,Director,-
9,Josephine Ossiya,Director,-
10,Mr. Andrew Hollas,Chairman,-
11,Mr. Stephen O. Wandera,Director,"50,000"
