Investor Pool,Records,Shares,Percentage
Foreign Investors,101,"1,080,153,057",42.80%
Local Institutions,742,"849,676,332",33.67%
Local Individuals,"22,903","593,657,427",23.53%
Grand Totals:,"23,746","2,523,486,816",100.00%
