Name,Position,"Annual
retainer","Sitting
allowances","Other
allowances","Salaries
& Other
benefits",Total,"No. of
meetings
attended"
Mr. W. Andrew Hollas,Chairman,"1,400,000","2,250,000","3,780,000",-,"7,430,000",19/19
Dr. Peter K. Munga,NED,"2,600,000","2,212,500",-,-,"4,812,500",16/23
Mr. Jimnah M. Mbaru,NED,"1,200,000","375,000",-,-,"1,575,000",5/18
Mr. Mike Laiser*,NED,"350,000","650,000",-,-,"1,000,000",8/8
Mr. Mohamed S. Karama,NED,"1,200,000","2,550,000",-,-,"3,750,000",20/20
Ms. Caroline J. Kigen,NED,"1,200,000","1,600,000",-,-,"2,800,000",11/21
Ms. Marianne Loner,NED,"1,200,000","2,025,000",-,-,"3,225,000",14/15
Mr. George Odo/AfricInvest III Spv**,NED,"1,200,000","1,762,500",-,-,"2,962,500",11/14
Mr. Christopher Minter,NED,-,-,-,-,-,9/11
Ms. Josephine Ossiya***,NED,"1,850,000","2,530,000",-,-,"4,380,000",8/8
Dr. Benson I. Wairegi,GMD,-,-,-,"98,626,386","98,626,386",22/23
Mr. Stephen O. Wandera ****,NED,-,-,-,"52,746,708","52,746,708",13/15
Total,,"12,200,000","15,955,000","3,780,000","151,373,094","183,308,094",
