"8,814,058","11,477,786
(2,549,383)","1,006,301",Column,"18,291
-",Column,-,"21,316,4
(2,898,2"
"(348,876)",,-,,,,-,
"8,465,182","8,928,403
-
1,118,307
14,141
(123,901)
596,011
481,904","1,006,301",,"18,291
482,582
-
-
-
-
-",,-,"18,418,1
1,024,1
4,682,2
32,7
(2,444,7
718,8
541,9"
"612,935",,"(37,859)",,,,"(33,550)",
"2,614,668",,"31,845",,,,"917,419",
"18,577",,-,,,,-,
,,"(24,381)",,,,"(1,101,879)",
"(1,194,566)",,,,,,,
"122,828",,-,,,,-,
"20,794",,-,,,,"39,261",
"10,660,418","11,014,865","975,906",,"500,873",,"(178,749)","22,973,3"
"2,902,502","6,085,327
(1,115,716)",-,,"-
-
-",,-,"8,987,8
(1,201,0
(2,785,6"
"(85,337)",,-,,,,-,
"(2,785,611)",,-,,,,-,
,-,,,,,,
"31,554","4,969,611
-
1,450,297
-
3,547,430",-,,"-
-
-
244,654
74,828",,-,"5,001,1
1,742,9
3,547,2
1,177,2
7,347,1"
"1,742,978",,-,,,,-,
"2,019,107",,"77,854",,,,-,
-,,,-,,,"932,610",
"2,591,452",,,"550,212",,,"583,196",
"6,385,091","9,967,338",,"628,066",,"319,482","1,515,806","18,815,7"
"4,275,327","1,047,527",,"347,840","181,391",,"(1,694,555)","4,157,5"
"265,713",-,,-,-,,"176,568","442,2"
"4,541,040","1,047,527
(262,026)",,"347,840","181,391
88,630",,"(1,517,987)",
"(1,412,553)",,,"(150,969)",,,"(22,011)",
"3,128,487","785,501",,"196,871","270,021",,"(1,539,998)",
