Loans to directors and their families,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At start of year,"157,854","137,052","156,766","161,111","97,430"
Loans advanced during the period,"1,121","26,025","9,490",-,"64,242"
Loan repayments received,"(44,937)","-5,223","(29,204)","(4,345)",(561)
At end of year,"114,038","157,854","137,052","156,766","161,111"
