2021,"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"14,195,178","17,643,855
(5,864,183)
11,779,672
7,720
1,707,660
(2,277)
(137,647)
1,290,470
608,248","783,878","17,688
-
17,688
383,639
5,575
-
-
-
162,466",-,
,"(959,212)",,-,,-,
,"13,235,966",,"783,878",,-,
,"(47,199)",,"(4,923)",,"(139,896)",
,"8,893,038",,"8,910",,"206,379",
,336,,-,,"(5,554)",
,"619,938",,-,,"1,318,424",
,"169,077",,-,,-,
,"40,993",,"4,557",,"(18,496)",
,"22,912,149","15,253,846","792,422","569,368","1,360,857",
,"7,729,745","11,648,351
(4,007,563)
-",-,"-
-
-",-,
,"(845,668)",,-,,-,
,"3,315,561",,-,,-,
,"10,199,638","7,640,788
-
2,455,063
35,228
4,527,486",-,"-
-
-
-
162,314",-,
,"5,230,998",,-,,-,
,"1,479,610",,"182,427",,-,
,"26,989",,"21,895",,"367,162",
,"3,433,210",,"717,904",,"2,841,234",
,"20,370,445","14,658,565","922,226","162,314","3,208,396",
,"2,541,704","595,281","(129,804)","407,054","(1,847,539)",
,"(170,927)",-,-,-,"(115,158)",
,"2,370,777","595,281
(216,278)","(129,804)","407,054
(1,054)","(1,962,697)",
,"(711,233)",,"(10,772)",,-,
,"1,659,544","379,003","(140,576)","406,000","(1,962,697)",
