Stakeholders,How we engage our stakeholders
"We have a rich and diverse shareholder
base composed of both local and
international shareholders.
They are the owners of our business and
trust us to generate sustainable returns
exceeding our cost of capital over the short,
medium, and long term.","We aim to consistently and transparently engage with our shareholders. This is
done both in-person and through our various communication platforms.
The key engagement forums are Annual General Meetings (AGMs), individual
shareholder calls and meetings, conference calls, results announcements and
presentations, investor roadshows and conferences.
We also have a dedicated email address for general investor queries, a
dedicated email address for AGM feedback, and regular updates on our website.
We have dedicated functions dedicated to shareholders interests through the
company secretariat and the investor relations departments."
"Suppliers and Partners
These are critical partners to our operations.
They provide services, technologies, and
a wealth of other forms of technical and
business support to our operations.
We believe and pursue mutually beneficial
and transparent relationships with them.",
,"We strive to have meaningful engagements with our suppliers and partners and
aim to make it easy for them to do business with us.
We use communication channels such as portals, emails, conference calls, and
face-to-face meetings to attend to their queries and concerns.
We procure our goods and services through an open and transparent
procurement process observing the company’s procurement policy and
procedures.
We engage in an open and fair supplier prequalification process and obtain
engagement feedback through independent surveys."
"Government and Regulators
We take pride in being a responsible
corporate citizen. We promptly pay taxes
across our footprint where we operate.
We work with governments and regulators
to ensure we cooperate and collaborate in
a way that supports a stable and flourishing
insurance and the wider financial services
industry.",
,"We comply with country-specific legislation and regulations.
We make presentations about legislative and regulatory processes and directly
engage key government regulatory and industry stakeholders.
Our engagement with governments and regulators focuses on constructive
participation to ensure the best outcome for our customers, intermediaries,
industry, and the countries in which we operate in."
