"ng term insurance contracts
claims reported and claims handling expenses 753,379
actuarial value of long term liabilities (Note 43 (iii)) 12,296,712",Column,Column,Column,Column
,,,,"721,048"
,,,"15,082,324",
tal – long term,"13,050,091",,"15,803,372",
"ort term non-life insurance co
claims reported and claims hand
claims incurred but not reported","ntracts
ling expenses (Not
(Note 42)","e 42) 3,446,020
2,248,846",,
,,,"3,873,553",
,,,"2,109,819",
tal – short term (Notes 42),,"5,694,866","5,983,372",
tal gross insurance liabilities,,"18,744,957","21,786,744",
