Column,"6,849,692"
,"(893,001)"
"Net earned premium
Fund management fees 6
Investment income 7(i)
Net realised gains/(losses) on financial assets 7(ii)
Net fair value gains/(losses) on financial assets at fair value through profit
and loss 7(iii)
Commissions earned
Other income 8","5,956,691"
,"377,208"
,"1,971,016
45,554"
,"3,032,092"
,"307,639"
,"53,184"
Total Revenue,"11,743,384"
"Expenses
Insurance claims and loss adjustment expenses
Less: amount recoverable from reinsurers
Change in actuarial value of policyholder benefits",
,"4,282,914"
,"(1,803,019)"
,"1,189,436"
"Net insurance benefits and claims 9(i)
Interest payments/increase (decrease) in unit value 9(ii)
Operating and other expenses 10
Commissions payable","3,669,331"
,"1,608,828"
,"2,286,578"
,"1,476,086"
Total Expenses,"9,040,823"
"Profit/(loss) before share of the associate
Share of profit of the associate 19","2,702,561"
,"146,845"
Profit/(loss) before tax,"2,849,406"
Income tax expense 12,"(329,945)"
"Profit/(loss) for the year (of which profit of Shs 1,482,834,000 (2011:
Loss of Shs 1,239,471,000) has been dealt with in the accounts of the
company)","2,519,461"
