No,Key Pillar,What we plan to do
1,"Customer Segmentation and Product
Development","• Engage our clients through focused group discussions.
• Automate data collection and validation to enable business and operations
teams to have better insights in order to improve customer service.
• Based on our customer feedback and market intelligence we are able to innovate
and develop products that are geared towards specific customer segments."
2,Customer Service Excellence,"• Enhance our user experience on Web and USSD.
• Enhance payments and collection capability through e-commerce.
• Enhance partner portal and support for direct business.
• Improve our turn around times by integrating workflow management, auto-
reconciliation of payments.
• Introduction of intelligent process automation through robotics."
3,Distribution and Channel Partnerships,"• Empower our agents by digitizing their front end activities e.g. automated sales
pipelines, real time quotes and proposals, etc.
• Strengthen the existing strategic partnerships and grow emerging/alternative
partners’ relationships.
• Create new value using existing assets e.g. Online product bundling as well as
ensuring an unified user experience across our digital platforms."
4,Innovative Culture,"• Build a culture of innovation through ensuring access to data, carrying out
innovate challenges, redefining metrics and incentives and creating an
environment that accepts experimentation."
