Asset Type (Shs ‘000),+10% Change on PD&LGD,-10% Change on PD&LGD
Cash and bank balances,1,(1)
Deposits with financial institutions,28,(28)
Government securities at amortized cost,3,(3)
Corporate bonds at amortised cost,"2,968","(2,968)"
"Loans and receivables from related
parties","32,929","(32,929)"
Other receivables,"3,296","(3,296)"
Total,"39,225","(39,225)"
