"rrent
sets
bilities","407,764
(1,619,523)",Column,"792,627
(670,044)",Column
,,"426,346",,"254,301"
,,"(1,855,072)",,"(573,159)"
tal current net (liabilities)/ assets,"(1,211,759)","(1,428,726)","122,583","(318,858)"
"n-current
sets","1,516,963",,"98,299",
,,"1,630,970",,"284,827"
,"1,516,963","1,630,970","98,299","284,827"
,"305,204","202,244","220,882","(34,031)"
