Members,Status,Attendance
Mrs. Agnes N. Odhiambo (Chairperson),Independent Non-Executive Director,3/4
Mr. Nduva Muli*,Independent Non-Executive Director,2/2
Mr. W. Andrew Hollas,Independent Non-Executive Director,4/4
Mr. Samson K. Kamau**,Independent Non-Executive Director,1/1
