Maximum insured loss,Column,Column,Column,Column,Column,Column
"Class of
business",Shs Millions,,0 – 15,15 - 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"General
Insurance
business – Sum
assured",Motor,"Gross
Net
Gross
Net
Gross
Net
Gross
Net
Gross
Net
Gross
Net","133,555,161","17,329,093
15,627,736
209,548,537
290,221,455
52,679,117
23,685,831
180,521,906
96,776,333
2,863,170
721,000
45,273,700
22,851,874","34,800,556",
,,,"89,516,601",,"31,348,112",
,Fire,,"61,623,518",,"1,818,448,893",
,,,"37,202,873",,"771,565,752",
,Personal accident,,"9,310,234",,"292,939,305",
,,,"9,026,447",,"81,952,671",
,Other,,"35,475,776",,"643,412,424",
,,,"28,420,682",,"(136,633,825)",
"Long term
business",Ordinary life,,"215,227,162",,-,
,,,"199,185,779",,-,
,Group life,,"252,418,775",,"547,856,290",
,,,"247,765,013",,"510,159,062",
Total,,Gross,"707,610,626","508,215,523","3,337,457,468",
,,Net,"611,117,395","449,884,229","1,258,391,772",
