Members,Status,Attendance
"Ms. Caroline J. Kigen
(Chairperson)","Independent Non-
Executive Director",4/4
Mr. Mike Laiser,"Independent Non-
Executive Director",4/4
Mr. Mohamed S. Karama,"Independent Non-
Executive Director",4/4
