2021,2020,2019,2018,2017
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
"19,083,517",,"29,376,826",,"22,670,010"
"153,427,336",,"125,243,565",,"99,024,857"
"134,343,819",,"95,866,739",,"76,354,847"
