2010,Column,2008,Column,2006
Shs’000,,Shs’000,,Shs’000
"(279,710)","(188,903)
95,569","(95,687)","(180,609)
84,984","(82,234)"
"139,003",,"85,437",,"73,587"
"(140,707)","(93,334)","(10,250)","(95,625)","(8,647)"
"(10,874)","(68,587)","70,262","93,773","59,893"
(804),"(2,866)","(8,672)","(1,684)","10,779"
