Column,Gross claims development,Column,Column,Column,Column,Total
,2020,2021,2022,2023,2024,
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"Estimate of ultimate claim
costs (gross of reinsurance,
undiscounted)
At end of accident year
1 year later
2 years later
3 years later
4 years later","477,903
568,428
562,578
570,780
558,704","5,485,310
6,959,564
7,177,378
7,194,370
6,701,502","7,443,388
9,797,259
9,795,349
9,277,734
-","6,303,398
7,673,072
7,298,641
-
-","7,922,955
9,203,139
-
-
-",
,,,,,,"27,632,954"
,,,,,,"34,201,462"
,,,,,,"24,833,946"
,,,,,,"17,042,884"
,,,,,,"7,260,206"
"Gross cumulative claims
liabilities - accident years from
2020 to 2024
Add: Incurred but not Reported
Gross cumulative claims
liabilities - prior accident years
(OCR)
Gross cumulative claims
liabilities - prior accident years
(IBNR & CHER)
Add: Liability in respect of prior
years
Effect of discounting
Effect of the risk adjustment
margin for non-financial risk
Less: Cumulative payments to
date","558,704
419,804
-
2,929
173,127
(646)
8,771
(549,035)","7,194,370
392,808
1,906,423
160,573
237,817
(388,405)
145,652
(5,675,017)","9,795,349
467,423
-
-
268,050
(252,003)
82,988
(7,354,449)","7,673,072
647,037
-
-
201,946
(289,121)
84,884
(6,036,650)","7,922,955
1,040,304
-
-
216,734
(522,067)
170,578
(7,023,719)","33,144,450"
,,,,,,"2,967,376"
,,,,,,"1,906,423"
,,,,,,"163,502"
,,,,,,"1,097,674"
,,,,,,"(1,452,242)"
,,,,,,"492,873"
,,,,,,"(26,638,870)"
"Gross LIC for the contracts
originated","613,654","3,974,221","3,007,358","2,281,168","1,804,785","11,681,186"
