For the year ended 31 December,Column,Column,Column
,Notes,2021,2020
,,Shs’000,Shs’000
,,"31,839,032
(6,823,395)",
,4,,"28,199,619"
,4,,"(5,053,986)"
,4,"25,015,637
684,858
(206,410)
10,872,447
(7,495)
1,807,167
1,459,547
602,224","23,145,633"
,4,,"621,540"
,5,,"(1,470,336)"
,6,,"9,397,384"
,7,,"(71,156)"
,8,,"(2,466,634)"
,9,,"1,218,404"
,10,,"(221,887)"
,,"40,227,975","30,152,948"
,,"22,693,657
(4,853,231)",
,11,,"21,080,743"
,11,,"(2,431,371)"
,,"17,840,426
5,230,998
11,327,916
413,989
4,117,100","18,649,372"
,12,,"2,759,170"
,13 (i),,"13,455,260"
,14 (i),,"361,547"
,15,,"3,802,160"
,,"38,930,429","39,027,509"
,,"1,297,546
(286,085)","(8,874,561)"
,24 (i),,"(823,049)"
,,"1,011,461
(939,337)","(9,697,610)"
,25 (a),,"586,071"
,,"72,124","(9,111,539)"
,,"46,222
25,902",
,,,"(9,146,743)"
,26 (iii),,"35,204"
,,0.02,
,19,,(3.62)
