Group,Column,Column,Company,Column,Column
"Computer
software
costs","Internally
generated
software
development
costs",Total,"Computer
software
costs","Internally
generated
software
development
costs",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"-
(11,646)
85,557
(13,426)
-
1,265",,"190,360
-
1,167
-
-",,
"3,613,679",,"3,613,679",,-,
"72,361",,"60,715",,-,
"51,080",,"136,637",,-,
-,,"(13,426)",,-,
"(1,463)",,"(1,463)",,,
"34,573",,"35,838",,-,
"3,770,230","61,750","3,831,980","191,527",-,
"3,770,230","61,750
47,866
(3,108)
(87,983)
-
1,533","3,831,980","191,527
-
-
-
-",-,
"53,702",,"101,568",,,
"3,108",,-,,-,
106,,"(87,877)",,-,
"(9,805)",,"(9,805)",,-,
"(42,030)",,"(40,497)",,-,
"3,775,311","20,058","3,795,369","191,527",-,
,"-
-
-",,"95,186
26,678
-",,
"1,513,759",,"1,513,759",,-,
"433,847",,"433,847",,-,
"10,293",,"10,293",,-,
"1,957,899",-,"1,957,899","121,864",-,
"427,898","-
-","427,898","26,389
-",-,
"(6,593)",,"(6,593)",,-,
"2,379,204",-,"2,379,204","148,253",-,
"1,812,331","61,750","1,874,081","69,663",-,
"1,396,107","20,058","1,416,165","43,274",-,
