`,Column
"8,847,166","6,849,692"
"(1,095,967)","(893,001)"
"7,751,199","5,956,691"
"613,511","377,208"
"2,759,463","1,971,016"
"232,727","45,554"
"3,355,542","3,032,092"
"370,520","307,639"
"47,096","53,184"
"15,130,058","11,743,384"
"3,270,310","4,282,914"
"(293,259)","(1,803,019)"
"1,849,669","1,189,436"
"4,826,720","3,669,331"
"2,204,587","1,608,828"
"3,210,990","2,286,578"
"1,873,285","1,476,086"
"12,115,582","9,040,823"
"3,014,476","2,702,561"
"181,685","146,845"
"3,196,161","2,849,406"
"(542,372)","(329,945)"
"2,653,789","2,519,461"
