Director,Position,Nationality,Address
John Nicholas Ashford Hodges,Chairman,British,"138 Piccadilly, London W1J 7NR, UK."
Peter Kahara Munga,Director,Kenyan,"P. O. Box 43704, Nairobi"
Benson Irungu Wairegi,Group Managing Director,Kenyan,"P. O. Box 30375 -00100, Nairobi"
Simwogerere Kitsim Katende,Non Executive Director,Ugandan,"P. O. Box 2344, Kampala, Uganda"
