Provider,"Assets under
management
December 2010
(Kshs 000)",% Market share
British-American Asset Managers,"9,234,407",32.7%
Old Mutual Investment Group,"8,709,683",30.8%
Stanbic Investment Management Services (EA),"5,042,801",17.8%
African Alliance Kenya Management Co.,"2,327,799",8.2%
ICEA Asset Management,"1,554,366",5.5%
Zimele Asset Management Co.,"649,205",2.3%
CBA Capital,"530,093",1.9%
Dyer & Blair,"144,715",0.5%
Suntra Investment Bank,"65,522",0.2%
Standard Investment Bank,"13,946",0.05%
Total,"28,272,537",100.0%
