Activities Completion details,Timing,Date
1. Offer Opening and launch,T+0,12 July 2011
2. Offer Closing and last date and time for acceptance and payment for New Shares,T+24,5 August 2011
3. Allotment and announcement of the Offer results*,T+42,23 August 2011
"4. Final date for payment for Shares to Receiving Bank for applications against irrevocable bank
guarantees",T+44,25 August 2011
"5. Commencement of electronic crediting of CDS accounts and issuance of share certificates to
Authorised Selling Agents",T+45,26 August 2011
"6. Commencement of payment of Refunds through Electronic Funds Transfer or Refund
Cheques",T+45,26 August 2011
7. Deadline for crediting of the CDS Accounts,T+50,31 August 2011
8. Listing and Commencement of Trading (two weeks after allotment) at the NSE,T+52,2 September 2011
