Pillar: Employee Engagement Initiatives,What we achieved
1. Teamwork in action: The 2023 Britam sports day,"The 2023 Britam sports day fostered collaboration, boosted morale, and
built a winning mindset."
2. Culture Transformation Journey,"Co-creation and launch of Britam #BlueTribe Winning Culture, the Britam
leadership code was developed, translating to our winning culture."
3. Employee Engagement and Culture Survey,"Our overall employee engagement has had a remarkable shift moving from
62% in 2022 to an impressive 77% in 2023 across the Britam Group.
This demonstrates the dedication and commitment by leadership and
employees to succeed and create inspiring employee experience."
4. Life @ Britam,"The “Life @ Britam” featured nine inspiring videos. These videos
highlight achievements, growth, recognition, and daily life at Britam. They
actively promote our key initiatives #BuildTheBlueTribe and
#JoinTheBlueTribe, emphasizing the culture and distinctive value
proposition of building a long-term career in Britam."
