Board Member,Position,"Annual
Retainer","Sitting
Allowance","Other
Allowances","Salaries and
Other Benefits",Total
Mr. Kuria Muchiru,Chairman,"1,000,000","1,775,000","10,240,000",-,"13,015,000"
,NED,"1,000,000","1,900,000",-,-,
Mr. Jimnah M. Mbaru,NED,"1,000,000","1,487,500",-,-,"2,487,500"
,NED,"1,000,000","1,487,500",-,-,
"Africinvest III SPV- Represented
by Mr. George Odo",NED,"1,000,000","2,500,000",-,-,"3,500,000"
,NED,-,-,-,-,
Ms. Josephine Ossiya,NED,"250,000","162,500",-,-,"412,500"
,INED,"1,000,000","3,462,500",-,-,
Ms. Celestine Munda,INED,"1,000,000","2,725,000",-,-,"3,725,000"
,ED,-,-,-,"93,818,550",
Mr. Lotfi Baccouche,INED,"1,000,000","1,975,000",-,-,"2,975,000"
,NED,"750,000","1,375,000",-,-,
"Ms. Barbara Chesire (Co-opted
CXI Committee Member )",NED,-,"250,000",-,-,"250,000"
Total,,"9,000,000","19,100,000","10,240,000","93,818,550","132,158,550"
