Maximum insured loss,Column,Column,Column,Column,Column,Column
Class of business,,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"muS
–
ssenisub
ecnarusnI
lareneG derussa",Motor,Gross,"5,492,561","12,545,610","48,712,215","66,750,386"
,,Net,"5,326,911","11,943,412","46,766,050","64,036,373"
,Fire,Gross,"108,433,101","158,313,635","1,324,506,117","1,591,252,853"
,,Net,"110,616,065","278,272,334","611,789,442","1,000,677,841"
,Personal accident,Gross,"3,180,007","45,767,732","150,030,659","198,978,398"
,,Net,"3,005,395","32,860,400","86,939,140","122,804,935"
,Other,Gross,"25,158,379","68,340,557","638,879,368","732,378,304"
,,Net,"23,710,373","48,707,100","218,488,616","290,906,089"
"mret
ssenisub
gnoL",Ordinary life,Gross,"202,921,455","2,789,620",-,"205,711,075"
,,Net,"184,956,869",-,-,"184,956,869"
,Group life,Gross,"244,510,878","35,421,400","280,213,190","560,145,468"
,,Net,"246,442,228","19,685,228","252,174,398","518,301,854"
,Total,Gross,"589,696,381","323,178,554","2,442,341,549","3,355,216,484"
,,Net,"574,057,841","391,468,474","1,216,157,646","2,181,683,961"
