2024,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9
,"FCF as at 31
December","CSM as
at 31
December",Total,"Impact on
FCF","Impact
on CSM","Total
increase
(de-
crease) in
insurance
contract
liabilities","Remain-
ing
CSM","Impact
on profit
before
income
tax","Impact on
equity"
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"Main basis
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","134,263,583
(970,014)","10,588,902
-",,,,,,,
,,,"144,852,485",,,,,,
,,,"(970,014)",,,,,,
,"133,293,569","10,588,902","143,882,471",,,,,,
"Mortality rate -20% increase
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","139,013,918
(1,599,107)","10,352,540
-",,"1,130,756
(629,093)","(236,362)
-",,"10,352,540
-","(269,436)
-","(188,605)
-"
,,,"149,366,458",,,"894,394",,,
,,,"(1,599,107)",,,"(629,093)",,,
,"137,414,811","10,352,540","147,767,351","501,663","(236,362)","265,301","10,352,540","(269,436)","(188,605)"
"Lapse/surrender rates - 20%
decrease
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","138,089,828
(970,014)","10,573,673
-",,"206,667
-","(15,229)
-",,"10,573,673
-","(200,903)
-","(140,632)
-"
,,,"148,663,501",,,"191,438",,,
,,,"(970,014)",,,-,,,
,"137,119,815","10,573,673","147,693,488","206,667","(15,229)","191,438","10,573,673","(200,903)","(140,632)"
"Lapse/surrender rates -
20% increase
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","137,720,376
(970,014)","10,555,109
-",,"(162,786)
-","(33,793)
-",,"10,555,109
-","192,444
-","134,711
-"
,,,"148,275,485",,,"(196,579)",,,
,,,"(970,014)",,,-,,,
,"136,750,362","10,555,109","147,305,471","(162,786)","(33,793)","(196,579)","10,555,109","192,444","134,711"
"Expenses - 10% increase
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","141,065,906
(970,200)","10,165,032
-",,"3,182,745
(187)","(423,870)
-",,"10,165,032
-","(249,870)
-","(174,909)
-"
,,,"151,230,938",,,"2,758,875",,,
,,,"(970,200)",,,(187),,,
,"140,095,706","10,165,032","150,260,738","3,182,558","(423,870)","2,758,688","10,165,032","(249,870)","(174,909)"
"Interest - 2% decrease
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","146,512,627
(982,801)","10,207,741
-",,"8,629,465
(12,787)","(381,161)
-",,"10,207,741
-","(157,399)
-","(110,179)
-"
,,,"156,720,367",,,"8,248,304",,,
,,,"(982,801)",,,"(12,787)",,,
,"145,529,826","10,207,741","155,737,567","8,616,678","(381,161)","8,235,517","10,207,741","(157,399)","(110,179)"
