Column,LRC,Column,"Liabilities for
incurred claims
(Shs’000)","Total
(Shs’000)"
"Analysis by remaining coverage and
incurred claims - Contracts not
measured under PAA","Excluding loss
component
(Shs’000)","Loss
component
(Shs’000)",,
"Opening insurance contract liabilities
Opening insurance contract assets","20,422,775
-","1,185,081
-","491,164
-","22,099,020"
,,,,-
Net balance as at 1 January,"20,422,775","1,185,081","491,164","22,099,020"
"Insurance revenue
CSM recognized for services provided
Change in risk adjustment for
non-financial risk for risk expired
Expected insurance service expenses
incurred
Total insurance revenue","(1,243,344)
(267,972)
(3,336,141)
(4,847,457)","-
-
-
-","-
-
-
-",
,,,,"(1,243,344)"
,,,,"(267,972)"
,,,,"(3,336,141)"
,,,,"(4,847,457)"
"Incurred insurance service expenses:
Incurred claims and other directly at-
tributable expenses
Changes in fulfilment cash flows relat-
ing to LIC
Losses for the net outflow recognized
on initial recognition
Losses on onerous contracts and reversal
of those losses","-
-
-
-","-
-
206,385
(424,158)","3,547,374
(272,263)
-
-",
,,,,"3,547,374"
,,,,"(272,263)"
,,,,"206,385"
,,,,"(424,158)"
Total insurance service expenses,-,"(217,773)","3,275,111","3,057,338"
Total insurance service result,"(4,847,457)","(217,773)","3,275,111","(1,790,119)"
"Finance expenses from insurance
contracts issued","6,328,296","153,052","72,424","6,553,772"
"Total changes in the statement of
financial performance
Investment components
Cash flows
Premiums received
Claims and other directly attributable
expenses paid
Total cash flows","1,480,839
(6,795,526)
11,394,448
-
11,394,448","(64,721)
-
-
-
-","3,347,535
6,795,526
-
(10,590,749)
(10,590,749)","4,763,653"
,,,,-
,,,,"11,394,448"
,,,,"(10,590,749)"
,,,,"803,699"
Other movements,"(406,456)","(248,363)","248,363","(406,456)"
Net closing balance,"26,096,083","871,997","291,839","27,259,919"
