2023,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9
,"FCF as at 31
December","CSM as
at 31
December",Total,"Impact on
FCF","Impact
on CSM","Total
increase
(de-
crease) in
insurance
contract
liabilities","Remain-
ing
CSM","Impact
on profit
before
income
tax","Impact on
equity"
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"Main basis
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","109,410,504
(848,217)
108,562,287","8,414,662
-
8,414,662","117,825,166
(848,217)
116,976,949",,,,,,
"Mortality rate -20% increase
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","109,536,961
(1,167,586)","8,271,842","117,808,803
(1,167,586)","126,458
(319,370)","(142,820)
-","(16,362)
(319,370)","8,271,842
-","(254,516)
-","(178,161)
-"
,"108,369,375","8,271,842","116,641,217","(192,912)","(142,820)","(335,732)","8,271,842","(254,516)","(178,161)"
"Lapse/surrender rates - 20%
decrease
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","108,878,250
(848,217)","8,454,925","117,333,175
(848,217)","(532,254)
-","40,263
-","(491,991)
-","8,454,925
-","(96,857)
-","(67,800)
-"
,"108,030,033
108,705,981
(848,217)
107,857,764","8,454,925
8,433,725
8,433,725","116,484,958
117,139,706
(848,217)
116,291,489","(532,254)
(704,523)
-
(704,523)","40,263
19,063
-
19,063","(491,991)
(685,460)
-
(685,460)","8,454,925
8,433,725
-
8,433,725","(96,857)
96,611
-
96,611","(67,800)
67,628
-
67,628"
"Lapse/surrender rates - 20%
increase
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities",,,,,,,,,
"Expenses - 10% increase
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","109,415,460
(848,217)
108,567,243","8,081,536
8,081,536","117,496,996
(848,217)
116,648,779","4,956
-
4,956","(333,126)
-
(333,126)","(328,170)
-
(328,170)","8,081,536
-
8,081,536","(260,678)
-
(260,678)","(182,475)
-
(182,475)"
"Interest - 2% decrease
Insurance contract liabilities (net)
Reinsurance contract assets (net)
Net insurance contract liabilities","114,036,841
(863,008)
113,173,833","7,641,948
7,641,948","121,678,789
(863,008)
120,815,781","4,626,337
(14,791)
4,611,546","(772,714)
-
(772,714)","3,853,623
(14,791)
3,838,832","7,641,948
-
7,641,948","(420,771)
-
(420,771)","(294,540)
-
(294,540)"
