Column,Our Objectives,2017 Performance
Profitable Growth,"• Make all business profitable.
• Be the market leader in all our
chosen markets.","• Most of our businesses were profitable in FY
2017 (except Rwanda, Malawi, Mozambique
and Property).
• Increased contribution from international
businesses at 18% of Gross Written Premiums
at the end of 2017 (2016:12%)."
Customer Service,"• Ensure a “one-stop shop” and a
seamless experience for clients.
• Engage in continuous brand
building to become the trusted
partner to our clients.","• Implemented a 24-hour Contact Centre and
rolled out the first Phase of our Customer
Relationship Management (CRM) system."
Innovation,"• Increase our share of wallet
by designing products with
customers in mind and deliver
them in a timely manner.
• Develop innovative partnership
and distribution channels to
increase our market penetration.","• Launched our mobile distribution channels for
example our new USSD portal (*778#), which
offers our Money Market Fund (MMF) and
Imarika products to retail clients.
• Launch of various digital portals to better serve
our customers and partners for example FA
Portal, Customer Portal and Marine Portal."
"Operational
Excellence","• Improve operational efficiency
and cost-to-income ratio.
• Ensure optimum underwriting
quality and reduce loss ratios
below 50%.","• Implemented and launched a number of
initiatives to bring down our cost-to-income
and loss ratio to 34% and 64% respectively,
including implementation of express motor
assessment centre and triaging approach to
claims processing."
"Enabling
Transformation","• Create a high performance,
proactive culture and
motivated team.
• Develop and IT ecosystem that
supports a digital enterprise
(Project Jawabu).","• Roll out of ERP systems completed across
all the international businesses resulting in
increased efficiencies in finance, procurement
and HR.
• INSIS medical and motor system
implementation ongoing.
• Moneyware Systems for the asset
management business is now Live."
