Analysis of EV Earnings,"Amount in
KShs 000s",% of Total Earnings
"Expected Return on In-force Business 278,180 11%",,
"Expected Return on ANW 578,927 23%",,
"Value of New Business 510,997 20%",,
"Operating Experience Variances 380,900 15%",,
"Assumption & methodology changes 118,523 5%",,
"Economic Experience Variances 951,069 37%",,
"Exceptional Items (258,943) -10%",,
"Total EV Earnings : 2,559,653 100%",,
