Shs’000,"Present Risk
value of
adjustment
future
cashflows for
non- CSM","Risk
adjustment for
non-financial
risk",CSM,Total
Net balance as at 1 January,"56,598","3,590","208,474","268,662"
Changes that relate to current service,-,-,-,-
"CSM recognised in profit or loss for the
services provided
Change in the risk adjustment for
non- financial risk for the risk expired
Experience adjustments not related to
future service","-
-
(23,735)","-
(1,506)
-","(63,151)
-
-","(63,151)
(1,506)
(23,735)"
Total,"(23,735)","(1,506)","(63,151)","(88,392)"
"Changes that relate to future service
Changes in estimates that adjust the
CSM","-
27,147","-
1,627","-
(28,774)","-
-"
Total,"27,147","1,627","(28,774)",-
"Insurance service result
Insurance Finance Income or Expense
The effect of and changes in time of
time value of money and financial risk","3,412
-
4,573","121
-
266","(91,925)
-
24,474","(88,392)
-
29,313"
"Total amounts recognised in
statement of profit or loss","7,985",387,"(67,451)","(59,079)"
Cash flows,,,,
"Premiums received
Insurance acquisition cash flows","(49,995)
22,497","-
-","-
-","(49,995)
22,497"
Total cash flows,"(27,498)",-,-,"(27,498)"
Net closing balance,"37,085","3,977","141,023","182,085"
