Column,"Full
retrospective
approach at
transition
Shs'000","Fair value
approach
at
transition
Shs'000",Total,"Full
retrospective
approach at
transition
Shs'000","Fair value
approach
at
transition
Shs'000",Total
,,,Shs'000,,,Shs'000
CSM as at 1 January,"304,906",-,"304,906","560,432",-,"560,432"
"Changes that relate to current service
CSM recognised in profit or loss for the services
provided
Changes that relate to future service
Contracts initially recognised in the period
Changes in estimates that adjust the CSM
Finance expenses from insurance contracts
issued","(87,812)
-
(45,437)","-
-
-",,"(117,944)
-
(29,010)","-
-
-",
,,,"(87,812)",,,"(117,944)"
,,,-,,,-
,,,"(45,437)",,,"(29,010)"
,"(133,249)
36,817","-
-","(133,249)","(146,954)
(108,573)","-
-","(146,954)"
,,,"36,817",,,"(108,573)"
"Total amounts recognised in statement of
profit or loss","(96,432)",-,"(96,432)","(255,527)",-,"(255,527)"
Other movements,-,,-,,,
CSM as at 31 December,"208,474",-,"208,474","304,905",-,"304,905"
