Column,"5,536,704",Column,"5,033,125"
,"37,679",,-
,,-,
,"(11,304)",,
,,"(134,997)",
,"(53,925)",,
,,"40,499",
,"16,178",,"40,499"
,"(11,372)",,"(94,498)"
,"303,683",,"224,606"
,,"(43,082)",
,"(84,483)",,
,,"(1,344,627)",
,"(153,764)",,"(1,344,627)"
,"65,436",,"( 1 , 1 6 3,103)"
,"54,064",,"(1,257,601)"
,"5,590,768",,"3,775,524"
,"5,554,872",,"3,747,751"
"35,896",,,"27,773"
"5,590,768",,"3,775,524",
