"(1,194,938)","(1,517,987)
13,666
18,526
33,550
(917,419)
-
1,101,879
-
(176,568)
932,610
-
185,473
-
-
-
-
215,492
-
(160,501)
(304,915)
-
-
-
-
-
-","822,559",Column
"296,356",,"8,964",
"41,144",,701,
"(1,211,502)",,"(201,776)",
"(3,128,572)",,"(2,568,470)",
"(209,944)",,-,
"2,836,211",,"824,235",
"423,523
(594,864)",,,"-
(96,641)"
"802,155
(6,158)",,,"802,155"
"214,048",,,-
-,,"600,569",
"125,652",,-,
"(1,171,129)",,-,
"50,394",,-,
"(101,826)",,-,
"919,886",,"(20,051)",
"(184,873)",,-,
"(696,954)",,"(1,027,003)",
-,,"652,948",
"5,640,582",,-,
"(1,117,788)",,-,
"3,762,470",,-,
"(46,753)",,-,
"(45,183)",,-,
"(7,969)",,-,
"5,393,968","(576,194)","(201,810)",
