Members,Status,Attendance
Mr. W. Andrew Hollas (Chairman)*,Independent Non-Executive Director,1/1
Amb. Dr. Francis K. Muthaura**,Independent Non-Executive Director,4/4
Dr. Peter K. Munga,Non-Executive Director,5/5
Dr. Benson I. Wairegi,Group Managing Director,4/5
