Group,Column,Column,2020,Column,2019,Column
,Notes,"Fair
value
Level","Carrying
amounts at
amortised",Fair value,"Carrying
amounts at
amortised",Fair value
,,,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
,,,,"10,122,535
1,156,003
1,875,314
1,957,847
-
-",,
,,,"10,501,818",,"15,057,530",
,,,"1,156,003",,"1,171,693",
,,,"1,875,314",,"1,511,273",
,,,"1,957,847",,"1,624,170",
,,,-,,"622,109",
,,,-,,"34,688",
,,,"15,490,982","15,111,699","20,021,463",
,,,,"3,175,000
996,064
683,859
8,978,247",,
,,,"3,175,000",,"375,000",
,,,"996,064",,"1,382,952",
,,,"683,859",,"594,764",
,,,"8,978,247",,"2,886,175",
,,,"13,833,170","13,833,170","5,238,891",
