Shs’ million,June’ 2015,June’ 2014,% change,Column
Gross Earned Premium,"10,638","6,025",77%,
Earned Income,"8,805","5,441",62%,
Financial assets fair value changes,(843),"2,864",,-129%
Investment income,"2,588","1,784",45%,
Other Income,497,154,223%,
"0.6
Total Income","11,047","10,243",8%,
"Kenya 2.6%
Net Claims payable","(5,110)","(3,599)",42%,
"1.0%
Interest/unit gain
1.0%",(265),(861),-69%,
Commission payable,"(1,979)","(1,094)",81%,
Operating expenses,"(2,462)","(1,833)",34%,
"Finance costs
Tanzania 1.0%",(390),-,-,
Share of profit of associates,202,153,32%,
Profit before tax,"1,044","3,010",-65%,
Income tax,(419),(263),59%,
Profit after tax,625,"2,746",-77%,
