At 31 December 2021,Column,"At amortised
cost","At fair value
through profit
or loss","At fair value
through other
comprehensive
income",Total
,Notes,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,,"-
-
9,040,206
-
2,200,042
11,367
1,135,847
2,296,455
1,036,605
1,846,973
185,203
5,947,575
1,677,335",,"6,716,098
-
-
-
-
-
-
-
-
-
-
-
-",
,"28, 29",,"10,547,549",,"17,263,647"
,29,,"46,617",,"46,617"
,"29, 30",,"74,050,579",,"83,090,785"
,29 (iii),,"5,054,402",,"5,054,402"
,37,,-,,"2,200,042"
,38 (i),,-,,"11,367"
,31,,-,,"1,135,847"
,32,,-,,"2,296,455"
,33 (i),,-,,"1,036,605"
,33 (iii),,-,,"1,846,973"
,38 (ii),,-,,"185,203"
,38 (i),,-,,"5,947,575"
,38 (i),,-,,"1,677,335"
,,"25,377,608","89,699,147","6,716,098","121,792,853"
,,"52,832,047
-
4,227,825
1,659,096
11,697,635",,"-
-
-
-
-",
,43,,-,,"52,832,047"
,44,,"4,276,660",,"4,276,660"
,14 (i),,-,,"4,227,825"
,33 (ii),,-,,"1,659,096"
,46,,-,,"11,697,635"
,,"70,416,603","4,276,660",-,"74,693,263"
,,"-
-
355,475
286,090
170,012
22,616",,"4,278,933
-
-
-
-
-",
,"28, 29",,"4,084,099",,"8,363,032"
,27 (ii),,"2,088,895",,"2,088,895"
,37,,-,,"355,475"
,51 (i),,-,,"286,090"
,38 (i),,-,,"170,012"
,38 (i),,-,,"22,616"
,,"834,193","6,172,994","4,278,933","11,286,120"
,14 (i),"3,238,075
89,051
7,478,696",-,"-
-
-","3,238,075"
,51 (i),,-,,"89,051"
,46,,-,,"7,478,696"
,,"10,805,822",-,-,"10,805,822"
