"New standard and/ or
amendments",Details of the amendments,"Assessment
of the impact
on the Group
financial state-
ments"
"Amendments to IFRS 10
and IAS 28 Sale or Contri-
bution of Assets between
an Investor and its Associ-
ate or Joint Venture
(Effective for annual periods
beginning on or after a date
to be determined)","IFRS 10 has been amended to reflect the following:
• Gains or losses resulting from the loss of control of a subsidiary that does not
contain a business in a transaction with an associate or a joint venture that is
accounted for using the equity method, are recognised in the parent’s profit or
loss only to the extent of the unrelated investors’ interests in that associate or
joint venture. Similarly, gains and losses resulting from the re-measurement of
investments retained in any former subsidiary (that has become an associate or
a joint venture that is accounted for using the equity method) to fair value are
recognised in the former parent’s profit or loss only to the extent of the unrelat-
ed investors’ interests in the new associate or joint venture.
In December 2015, the IASB postponed the effective date of this amendment
indefinitely pending the outcome of its research project on the equity method of
accounting. Earlier application of these amendments is still permitted.","The Group antic-
ipates no impact
to its financial
statements."
"Amendments to IAS 40
Transfer of investment
property.
(Effective for annual periods
beginning on or after 1
January 2018)","Paragraph 57 has been amended to state that an entity shall transfer a property
to, or from, investment property when, and only when, there is evidence of a
change in use. A change of use occurs if property meets, or ceases to meet, the
definition of investment property. A change in management’s intentions for the
use of a property by itself does not constitute evidence of a change in use
The amendments are effective for periods beginning on or after 1 January 2018.
Earlier application is permitted. An entity applies the amendments to changes
in use that occur on or after the beginning of the annual reporting period in
which the entity first applies the amendments. Retrospective application is also
permitted if that is possible without the use of hindsight","The Group antic-
ipates no impact
to its financial
statements."
"IFRIC 22 Foreign Currency
Transactions and Advance
Consideration issued
(Effective for annual periods
beginning on or after 1
January 2018)","IFRIC 22 clarifies the accounting for transactions that include the receipt or pay-
ment of advance consideration in a foreign currency.
The date of the transaction, for the purpose of determining the exchange rate, is
the date of initial recognition of the non-monetary prepayment asset or deferred
income liability.
If there are multiple payments or receipts in advance, a date of transaction is
established for each payment or receipt.
IFRIC 22 is effective for annual reporting periods beginning on or after 1 January
2018. Earlier application is permitted.","The Group antic-
ipates no impact
to its financial
statements."
