Long-Term Business,2014,2013,Increase
KShs 000s KShs 000s (%),,,
"*Adjusted Net worth : 7,924,623 5,904,972 34%",,,
"Present Value of Inforce : 4, 316,448 3, 542,781 22%",,,
"Cost of Required Capital : (316,894) (285, 280) 11%",,,
"Cost of Restriction on Surplus : (2, 538, 318) (1,865,566) 36 %",,,
"*Embedded Value : 9,385, 859 7,296,907 28.6%",,,
