"252,344",Column,"252,344","252,344"
"13,237,451",,"13,237,451","13,237,451"
"15,367,403",,"13,998,860","16,649,830"
"(3,408,334)",,"(5,541,477)","(10,091,139)"
"25,448,864",,"21,947,178","20,048,486"
"239,533",,"216,304","113,585"
"25,688,397",,"22,163,482","20,162,071"
"1,321,694",,"1,243,090","1,256,407"
"726,983",,"983,281","1,416,165"
"532,748",,"516,030","319,717"
"2,672,874",,"2,528,174","1,366,027"
"1,416,635",,"1,416,635","1,416,635"
"628,317",,"467,556","494,636"
"252,807",,"223,498","160,406"
"15,992,881",,"15,785,792","16,597,058"
-,,-,"6,716,098"
"58,957,327",,"53,458,025","50,181,988"
"68,541,507",,"57,105,719","48,344,106"
"1,129,886",,"1,150,370","1,135,847"
-,,"2,198",-
"7,788,246",,"7,168,691","6,899,839"
"2,930,923",,"2,491,535","2,262,579"
"643,844",,"277,614","517,344"
"216,417",,"64,140","185,203"
"10,640,881",,"7,991,854","7,499,485"
"174,393,970",,"152,874,202","146,769,540"
"4,717,240",,"3,973,500","3,376,377"
"133,702,453",,"118,190,592","106,322,835"
"561,024",,"131,841","155,052"
"632,186",,"672,066","441,125"
"2,581,068",,"2,540,223","4,227,825"
"6,176,775",,"5,087,136","12,050,157"
"334,827",,"115,362","34,098"
"148,705,57",3,"130,710,720","126,607,469"
"25,688,397",,"22,163,482","20,162,071"
