Line of Business,Products,Needs Served
Individual Life,"Savings, Investment and Protection Covers","Life insurance
Education
Personal Accident
Disability
Critical Illness
Last Expense"
Group Life & Pensions,"Savings, Investment and Protection Covers","Retirement Income
Life Insurance
Disability
Critical Illness
Loan & Mortgage Protection"
Medical,Family & Corporate Covers,"Hospitalisation
Evacuation
Out-Patient"
General Insurance,"Motor, Fire & Related Perils, Home, Marine,
Engineering, Liability, Theft and Personal Accident",Protection of Assets
Micro-insurance,"Funeral, Disability and Medical Covers","Protection requirements for low end
aggregated market segments"
