Class of business,Column,Column,Maximum insured loss,Column,Column
General Insurance business,,Kshs 0m - 15m,Kshs15m - 250m,Kshs250m - 1000m,Total
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Motor,Gross,"2,377,605","4,084,342",-,"6,461,947"
,Net,"2,367,355","4,041,352",-,"6,408,707"
Fire,Gross,"5,429,263","17,928,760","131,457,354","154,815,377"
,Net,"5,360,813","1,968,924","1,056,199","8,385,936"
Personal accident,Gross,"539,100","6,265,907","5,722,563","12,527,570"
,Net,"113,211","1,217,790","686,708","2,017,709"
Other,Gross,"2,632,551","33,204,840","23,613,543","59,450,934"
,Net,"2,580,881","944,494","10,449,296","13,974,671"
Life assurance business,,,,,
Ordinary life,Gross,"9,660,489",-,-,"9,660,489"
,Net,"8,811,082",-,-,"8,811,082"
Group life,Gross,"42,614,869","4,500,752",-,"47,115,621"
,Net,"15,744,658","210,313",-,"15,954,971"
Other,Gross,,,,
,Net,,,,
Total,Gross,"63,253,877","65,984,601","160,793,460","290,031,938"
,Net,"34,978,000","8,382,873","12,192,203","55,553,076"
