No.,Names,Roles,Shares
,Mr. W. Andrew Hollas,,-
,Dr. Benson I. Wairegi,,"101,089,100"
,Mr. Jimnah M. Mbaru,,"194,800,100"
,Dr. Peter K. Munga,,"75,000,000"
,Mr. Stephen O. Wandera,,"50,000"
,Mr. Mike Laiser,,-
,Mr. Mohamed S. Karama,,-
,Ms. Caroline J. Kigen,,-
,Ms. Marianne Loner,,-
,Africinvest III SPV 1,,"442,779,881"
,Mr. Christopher Minter,,-
,Josephine Ossiya,,-
